restaurant_name,address,city,state,zip,website,phone,dish_name,price_label,gluten_free,soy_free,nut_free,kosher,halal,confidence_level,source_type,notes,last_verified
Jim 'N Nick's Bar-B-Q,305 21st Ave,Tuscaloosa,AL,35401,https://www.jimnnicks.com,,Beef Brisket (No Bun),$18,yes,unknown,unknown,no,no,high,restaurant_label,Treated as safe when served without the bun,2026-04-09
The Sanctuary on 25th,1710 25th Ave,Tuscaloosa,AL,35401,,,Bacon Wrapped Dates,$14,yes,unknown,unknown,unknown,unknown,high,restaurant_label,Restaurant labels this item as gluten-free,2026-04-09
